KEY;TYPE;REF;GEOTYPE;VARIANTS;FILES
Acosta, Cristophorus;persName;;;Cristophorus Acosta;
Acosta, Emanuel;persName;http://www.viaf.org/100296856;;Emanuel Acosta;
Acosta, Thomas de S.J.;persName;;;Thomas de Acosta;
Adamus ;persName;;;Adamus|Adamo;
Agnes, Ioseph S.J.;persName;;;Joseph Agnes;
Albertus, Petrus S.J.;persName;;;Fr. Petrus Albertus|fr. Petrus Albertus;
Alexander VII;persName;http://www.viaf.org/89775498;;Alexander VII;
Alexius S.J.;persName;;;Fr. Alexius;
Alfonsus de Lucena S.J.;persName;;;Alfonssus de Lucena|Alfonsus de Lucena;
Aloysius Piñerius;persName;;;Aloysius Piñerius|Aloysius Pinherius;
Aloysius Saxo S.J.;persName;;;Aloysius Saxo|Aloysius Saxo;
Alvares, Antonius;persName;http://www.viaf.org/98621564;;Antonius Álvarez|Antonius Alvares|Antonius Alvarez;
Amacusa, Andrés S.J.;persName;;;Andrés Amacusa;
Amacusa, Paulus;persName;;;Amacusa Paulus;
Ambrosius de Abreu  S.J.;persName;;;Ambrosius de Abreu|Ambrosius de Abreu;
Ambrosius Ferdinandus;persName;;;Ambrosius Ferdinandus;
Andreas de Perusio O.F.M.;persName;http://viaf.org/viaf/316437458;;Andreas de Perusio;
Andreas Lubellus S.J.;persName;;;Andreas Lubellus|Andreas Lubellus|Andrea Lubelli;
Andreas S.J.;persName;;;Fr. Andreas;
Andreuccius de Assisio O.F.M.;persName;;;Andreuccio de Assisio|Andrutius de Asisio;
Antoninus;persName;;;Antoninus;
Antoninus Praenestinus S.J.;persName;;;Antoninus Praenestinus;
Antonius Barbosa S.J.;persName;;;Antonius Barbosa|Antonius Barbosa;
Antonius Cardinius S.J.;persName;;;Antonius Cardinius|Antonius Cardinius;
Antonius Constantinus S.J.;persName;;;Antonius Constantinus;
Antonius de Fontes S.J.;persName;;;Antonius de Fontes|Antonius de Fontes;
Antonius de Porto;persName;;;Antonius de Porto;
Antonius de Sancta Maria;persName;http://www.viaf.org/31140267;;Antonio de S. Maria|Antonii a S. Maria|Antonius de S. Maria|Antonius a S. Maria|Antonius de Sancta Maria|Antonio de S. Maria|Antonio a S. Maria|Antonius de sancta Maria;
Antonius Ferdinandus S.J.;persName;;;Fr. Antonius Ferdinandus|fr. Antonius Ferdinandus;
Antonius Franciscanus;persName;;;Antonium Franciscanum;
Antonius Franciscus de Critana S.J.;persName;;;Antonius Franciscus [de Critana]|Antonius Franciscus de Critana;
Antonius S.J.;persName;;;Fr. Antonius|fr. Antonius;
Aquaviva, Claudius;persName;http://www.viaf.org/233555495;;Aquaviva|Claudio Aquaviva;
Arnoldus de Colonia O.F.M.;persName;;;Arnoldus de Colonia|Arnoldus Alamannus;
Aryes Sanches S.J.;persName;;;Aryes Sanches;
Augustinus de Paschalis O.F.M.;persName;;;Augustino de S. Pascual|Augustini a S. Paschali|Agostino de S. Pasqual|Augustini de S. Pasqual|Augustinus de S. Pasqual O.F.M.|Augustinus a S. Paschali|Augustinus de S. Pasquali Minorita|Augustinus de S. Paschali|Augustinum a S. Pasquali|Augustinus a S. Paschali Paschali|Paschali|Augustinum de S. Pasqual|Augustinus de Paschalis|Augustinus de Paschalis;
Baltazar López de Villa Visoza S.J.;persName;;;Baltazar López de Villa Visoza|Baltazar Lopez;
Balthasar;persName;;;Balthasar;
Balthasar Gago;persName;;;Balthasar Gago|Balthasar Gago;
Balthassar Caldeira S.J.;persName;;;Balthassar Caldeira|Balthassar Caldeira|Balthasar Caldeyra|Balthasar Caldeyra;
Balthassar Citadellius S.J.;persName;;;Balthassar Citadellius|Balthassar Citadellius|Balthasar Cittadelli|Balthasar Cittadelli;
Barnabas de Oliveira S.J.;persName;;;Barnabas de Oliveira;
Barretus, Franciscus;persName;;;;
Barros, Ambrosius de S.J.;persName;;;Ambrosius de Barros;
Bartholameus Redondo;persName;;;Bartholameus Redondo;
Bartholomeus Reoxey S.J.;persName;;;Bartholomeus Reoxey|Bartholomeus Reoxey;
Bartoli, Danielis;persName;http://www.viaf.org/64074445;;Danielis Bartoli;
Basilius;persName;;;Basilium;
Basilius a Glemona;persName;http://www.viaf.org/61957240;;Basilius a Glemona;
Bencomus;persName;;;Bencomus;
Benedictus XIV;persName;http://www.viaf.org/76327169;;Emmanuele d’Azevedo;
Benedictus de Matos S.J.;persName;;;Benedictus de Mattos|Benedictus de Mattos|Benedictus de Matos;
